customer_id,customer_type,industry_segment,city,state,region,branch_id,recency,frequency,monetary,average_order_value,R_score,F_score,M_score,RFM_score,RFM_total,customer_segment,credit_limit,current_balance,customer_rating
C0153,Retail,Rental,Patna,Bihar,East,Pun001,19,59,109360638.6,1853570.1457627118,4,5,5,455,14,Champions,32014,27630,4
C0483,Corporate,Rental,Delhi,Delhi,North,Del001,13,53,108672502.0,2050424.566037736,4,5,5,455,14,Champions,511858,312732,1
C0288,Dealer,Infrastructure,Delhi,Delhi,North,Del001,74,63,107119652.2,1700311.9396825398,2,5,5,255,12,Loyal Customers,279745,19656,3
C0495,Fleet Owner,Infrastructure,Jaipur,Rajasthan,North,Ahm001,36,52,105717422.2,2033027.35,3,5,5,355,13,Champions,414484,135441,2
C0420,Retail,Rental,Chennai,Tamil Nadu,South,Chn001,39,54,105420085.2,1952223.8,3,5,5,355,13,Champions,44758,199,3
C0240,Corporate,Manufacturing,Hyderabad,Telangana,South,Hyd001,51,50,104286776.8,2085735.5359999998,3,5,5,355,13,Champions,695741,453727,1
C0207,Corporate,Rental,Kolkata,West Bengal,East,Kol001,79,51,101737768.4,1994858.2039215688,2,5,5,255,12,Loyal Customers,463240,70498,1
C0342,Dealer,Infrastructure,Delhi,Delhi,North,Del001,83,44,100153639.6,2276219.0818181816,2,4,5,245,11,Loyal Customers,104911,39842,5
C0466,Retail,Manufacturing,Bengaluru,Karnataka,South,Del001,18,52,99913868.2,1921420.5423076923,4,5,5,455,14,Champions,17753,15154,3
C0359,Fleet Owner,Mining,Hyderabad,Telangana,South,Hyd001,33,52,99895983.4,1921076.603846154,3,5,5,355,13,Champions,413735,90805,3
C0475,Fleet Owner,Construction,Kolkata,West Bengal,East,Kol001,13,58,97922412.6,1688317.4586206896,4,5,5,455,14,Champions,306605,272802,3
C0178,Dealer,Logistics,Kolkata,West Bengal,East,Kol001,22,58,97309961.6,1677757.9586206896,4,5,5,455,14,Champions,178736,135022,1
C0046,Retail,Rental,Ahmedabad,Gujarat,West,Ahm001,22,51,97081196.6,1903552.8745098037,4,5,5,455,14,Champions,14743,2408,3
C0206,Retail,Construction,Pune,Maharashtra,West,Pun001,20,46,96630874.4,2100671.1826086957,4,5,5,455,14,Champions,29675,24913,3
C0254,Dealer,Mining,Ahmedabad,Gujarat,West,Ahm001,97,52,96361380.0,1853103.4615384615,1,5,5,155,11,Loyal Customers,194781,184262,5
C0110,Dealer,Logistics,Indore,Madhya Pradesh,Central,Chn001,193,44,94461957.2,2146862.6636363636,1,4,5,145,10,Loyal Customers,107758,68824,5
C0083,Dealer,Infrastructure,Delhi,Delhi,North,Del001,88,50,94364155.4,1887283.108,2,5,5,255,12,Loyal Customers,214857,64003,2
C0490,Government,Logistics,Pune,Maharashtra,West,Pun001,2,50,93900425.2,1878008.504,5,5,5,555,15,Champions,1262928,379981,3
C0200,Retail,Logistics,Ranchi,Jharkhand,East,Del001,36,52,93452113.6,1797156.0307692306,3,5,5,355,13,Champions,12816,11546,2
C0291,Retail,Construction,Hyderabad,Telangana,South,Hyd001,28,54,93293350.4,1727654.6370370372,4,5,5,455,14,Champions,34183,21689,2
C0462,Retail,Logistics,Chennai,Tamil Nadu,South,Chn001,48,52,92177113.6,1772636.7999999998,3,5,5,355,13,Champions,22565,9458,5
C0134,Fleet Owner,Infrastructure,Ahmedabad,Gujarat,West,Ahm001,37,50,91565309.0,1831306.18,3,5,5,355,13,Champions,369606,281323,5
C0304,Dealer,Construction,Delhi,Delhi,North,Del001,6,51,91211305.8,1788456.9764705882,5,5,5,555,15,Champions,177177,155235,5
C0380,Fleet Owner,Manufacturing,Hyderabad,Telangana,South,Hyd001,23,58,91048215.0,1569796.8103448276,4,5,5,455,14,Champions,343972,250436,5
C0371,Retail,Rental,Hyderabad,Telangana,South,Hyd001,59,51,91039744.6,1785093.031372549,2,5,5,255,12,Loyal Customers,20028,141,3
C0241,Government,Construction,Ahmedabad,Gujarat,West,Ahm001,61,46,90825382.8,1974464.8434782608,2,5,5,255,12,Loyal Customers,973243,304765,1
C0084,Corporate,Logistics,Pune,Maharashtra,West,Pun001,26,47,90726465.4,1930350.3276595746,4,5,5,455,14,Champions,522422,458160,3
C0107,Fleet Owner,Construction,Delhi,Delhi,North,Del001,20,52,90133837.8,1733343.0346153846,4,5,5,455,14,Champions,412425,152905,1
C0468,Fleet Owner,Rental,Hyderabad,Telangana,South,Hyd001,0,56,89417777.4,1596746.0250000001,5,5,5,555,15,Champions,531281,35084,1
C0421,Retail,Construction,Chennai,Tamil Nadu,South,Chn001,105,45,88158611.2,1959080.2488888889,1,5,5,155,11,Loyal Customers,35710,11463,3
C0294,Government,Infrastructure,Hyderabad,Telangana,South,Hyd001,4,51,88081900.8,1727096.094117647,5,5,5,555,15,Champions,826435,405286,4
C0142,Retail,Manufacturing,Ahmedabad,Gujarat,West,Ahm001,23,48,87849122.2,1830190.0458333334,4,5,5,455,14,Champions,34620,17030,1
C0307,Dealer,Manufacturing,Ahmedabad,Gujarat,West,Ahm001,37,48,87787133.2,1828898.6083333334,3,5,5,355,13,Champions,302503,100600,1
C0070,Government,Logistics,Ahmedabad,Gujarat,West,Ahm001,11,48,87747724.2,1828077.5875000001,5,5,5,555,15,Champions,549454,84153,3
C0076,Government,Mining,Chennai,Tamil Nadu,South,Chn001,4,49,87221895.8,1780038.6897959183,5,5,5,555,15,Champions,1094151,760549,2
C0440,Retail,Manufacturing,Hyderabad,Telangana,South,Hyd001,71,47,86507191.8,1840578.54893617,2,5,5,255,12,Loyal Customers,17475,3995,5
C0005,Dealer,Construction,Ahmedabad,Gujarat,West,Ahm001,88,51,85668379.8,1679772.1529411764,2,5,5,255,12,Loyal Customers,380783,183927,2
C0197,Government,Manufacturing,Ahmedabad,Gujarat,West,Ahm001,74,50,85162557.6,1703251.1519999998,2,5,5,255,12,Loyal Customers,1385304,201035,2
C0403,Government,Construction,Kolkata,West Bengal,East,Kol001,21,49,85078442.8,1736294.751020408,4,5,5,455,14,Champions,954046,440000,4
C0394,Government,Construction,Hyderabad,Telangana,South,Hyd001,40,46,84930805.8,1846321.8652173912,3,5,5,355,13,Champions,685435,586864,4
C0201,Dealer,Infrastructure,Chennai,Tamil Nadu,South,Chn001,18,49,84633831.6,1727221.0530612243,4,5,5,455,14,Champions,468119,467851,4
C0435,Dealer,Manufacturing,Chennai,Tamil Nadu,South,Chn001,60,57,84330852.8,1479488.645614035,2,5,5,255,12,Loyal Customers,393189,129432,4
C0476,Fleet Owner,Infrastructure,Delhi,Delhi,North,Del001,93,38,84202311.6,2215850.305263158,1,3,5,135,9,Potential Customers,209985,8474,3
C0049,Dealer,Manufacturing,Coimbatore,Tamil Nadu,South,Kol001,6,42,84164002.6,2003904.8238095236,5,4,5,545,14,Champions,116389,95867,5
C0119,Government,Manufacturing,Surat,Gujarat,West,Del001,38,58,83814433.4,1445076.4379310345,3,5,5,355,13,Champions,1079453,124485,4
C0375,Fleet Owner,Mining,Surat,Gujarat,West,Pun001,58,44,83627577.8,1900626.768181818,2,4,5,245,11,Loyal Customers,243350,85892,1
C0113,Corporate,Logistics,Chennai,Tamil Nadu,South,Chn001,8,42,83281862.4,1982901.4857142859,5,4,5,545,14,Champions,965190,17579,2
C0244,Government,Logistics,Lucknow,Uttar Pradesh,North,Kol001,22,48,82751848.8,1723996.8499999999,4,5,5,455,14,Champions,1113022,736516,3
C0069,Dealer,Logistics,Delhi,Delhi,North,Del001,20,52,82661260.2,1589639.6192307693,4,5,5,455,14,Champions,413414,288815,2
C0129,Corporate,Mining,Delhi,Delhi,North,Del001,13,40,82458307.6,2061457.69,5,3,5,535,13,Champions,902420,248703,5
C0272,Government,Construction,Delhi,Delhi,North,Del001,18,43,82042535.4,1907965.939534884,4,4,5,445,13,Champions,963398,856171,1
C0060,Dealer,Mining,Hyderabad,Telangana,South,Hyd001,37,50,82033521.6,1640670.4319999998,3,5,5,355,13,Champions,350950,129725,1
C0221,Dealer,Logistics,Delhi,Delhi,North,Del001,117,44,82001959.0,1863680.8863636365,1,4,5,145,10,Loyal Customers,244567,24830,5
C0013,Dealer,Construction,Surat,Gujarat,West,Ahm001,65,49,81970974.6,1672877.0326530612,2,5,5,255,12,Loyal Customers,425862,104029,2
C0384,Retail,Construction,Chennai,Tamil Nadu,South,Chn001,113,42,81888155.8,1949717.995238095,1,4,5,145,10,Loyal Customers,30122,4580,3
C0482,Fleet Owner,Logistics,Kolkata,West Bengal,East,Kol001,28,36,81628023.2,2267445.088888889,4,2,5,425,11,Loyal Customers,285819,265924,1
C0062,Dealer,Construction,Hyderabad,Telangana,South,Hyd001,61,38,81412848.2,2142443.3736842107,2,2,5,225,9,Potential Customers,231418,123783,1
C0082,Fleet Owner,Manufacturing,Ahmedabad,Gujarat,West,Ahm001,13,50,81249145.6,1624982.9119999998,5,5,5,555,15,Champions,432697,104648,3
C0169,Fleet Owner,Construction,Ahmedabad,Gujarat,West,Ahm001,65,44,80772054.4,1835728.5090909093,2,4,5,245,11,Loyal Customers,693290,315019,4
C0250,Government,Infrastructure,Patna,Bihar,East,Pun001,11,45,80665961.2,1792576.9155555556,5,4,5,545,14,Champions,886619,515833,2
C0234,Corporate,Infrastructure,Surat,Gujarat,West,Chn001,5,33,80621425.6,2443073.503030303,5,1,5,515,11,Loyal Customers,418214,52828,2
C0295,Corporate,Mining,Kolkata,West Bengal,East,Kol001,83,46,80533744.6,1750733.5782608695,2,5,5,255,12,Loyal Customers,789992,559779,5
C0165,Fleet Owner,Manufacturing,Delhi,Delhi,North,Del001,7,51,80463427.2,1577714.2588235296,5,5,5,555,15,Champions,364580,79115,4
C0102,Government,Infrastructure,Patna,Bihar,East,Kol001,68,38,80030261.4,2106059.510526316,2,2,5,225,9,Potential Customers,1221840,547151,4
C0215,Corporate,Rental,Chennai,Tamil Nadu,South,Chn001,7,53,79956715.4,1508617.2716981133,5,5,5,555,15,Champions,647280,121034,5
C0276,Dealer,Manufacturing,Indore,Madhya Pradesh,Central,Kol001,2,49,79846720.4,1629524.906122449,5,5,5,555,15,Champions,337657,283507,3
C0356,Dealer,Mining,Bhubaneswar,Odisha,East,Del001,26,45,79690881.0,1770908.4666666666,4,4,5,445,13,Champions,277333,232370,2
C0297,Fleet Owner,Rental,Chennai,Tamil Nadu,South,Chn001,183,39,79590004.4,2040769.3435897438,1,3,5,135,9,Potential Customers,333899,295884,3
C0103,Dealer,Infrastructure,Coimbatore,Tamil Nadu,South,Kol001,124,42,79536298.4,1893721.3904761907,1,4,5,145,10,Loyal Customers,167168,77679,4
C0219,Government,Manufacturing,Pune,Maharashtra,West,Pun001,10,48,79417300.6,1654527.0958333332,5,5,5,555,15,Champions,1072558,185057,2
C0459,Retail,Logistics,Ranchi,Jharkhand,East,Pun001,17,45,79388823.0,1764196.0666666667,4,5,5,455,14,Champions,16763,15429,5
C0478,Retail,Rental,Delhi,Delhi,North,Del001,2,47,79015238.4,1681175.285106383,5,5,5,555,15,Champions,15416,13473,1
C0311,Government,Infrastructure,Chandigarh,Punjab,North,Del001,105,46,78976613.2,1716882.895652174,1,5,5,155,11,Loyal Customers,1148922,76276,4
C0489,Fleet Owner,Rental,Chennai,Tamil Nadu,South,Chn001,136,51,78799228.8,1545082.9176470588,1,5,5,155,11,Loyal Customers,594359,581546,5
C0422,Government,Construction,Hyderabad,Telangana,South,Hyd001,57,44,78729224.2,1789300.55,2,4,5,245,11,Loyal Customers,858335,605029,5
C0042,Fleet Owner,Rental,Chennai,Tamil Nadu,South,Chn001,79,44,78392790.0,1781654.3181818181,2,4,5,245,11,Loyal Customers,731768,472737,4
C0135,Retail,Rental,Bengaluru,Karnataka,South,Del001,126,45,78383415.4,1741853.6755555556,1,4,5,145,10,Loyal Customers,21372,14639,2
C0282,Government,Logistics,Kolkata,West Bengal,East,Kol001,7,51,78317730.4,1535641.7725490197,5,5,5,555,15,Champions,1271863,328689,2
C0246,Retail,Manufacturing,Delhi,Delhi,North,Del001,59,37,78316881.4,2116672.4702702705,2,2,5,225,9,Potential Customers,31917,9359,2
C0491,Dealer,Infrastructure,Chennai,Tamil Nadu,South,Chn001,180,32,78280966.4,2446280.2,1,1,5,115,7,Potential Customers,312699,2744,1
C0284,Corporate,Manufacturing,Kolkata,West Bengal,East,Kol001,8,45,78191857.0,1737596.822222222,5,4,5,545,14,Champions,948858,247207,1
C0196,Fleet Owner,Rental,Guwahati,Assam,North East,Kol001,64,54,78120269.6,1446671.6592592592,2,5,5,255,12,Loyal Customers,318408,222601,3
C0154,Fleet Owner,Logistics,Delhi,Delhi,North,Del001,15,46,77981883.6,1695258.3391304347,4,5,5,455,14,Champions,305293,279000,5
C0411,Corporate,Mining,Hyderabad,Telangana,South,Hyd001,19,46,77930913.2,1694150.286956522,4,5,5,455,14,Champions,621936,347662,5
C0168,Dealer,Infrastructure,Pune,Maharashtra,West,Pun001,13,38,77926391.0,2050694.5,5,2,5,525,12,Loyal Customers,238781,189804,1
C0002,Fleet Owner,Manufacturing,Hyderabad,Telangana,South,Hyd001,33,56,77917319.2,1391380.7,3,5,5,355,13,Champions,531506,426735,2
C0041,Government,Rental,Hyderabad,Telangana,South,Hyd001,203,42,77732741.0,1850779.5476190476,1,4,5,145,10,Loyal Customers,592802,392894,5
C0006,Government,Construction,Ahmedabad,Gujarat,West,Ahm001,120,46,77685503.4,1688815.291304348,1,5,5,155,11,Loyal Customers,514827,303122,3
C0045,Corporate,Rental,Kolkata,West Bengal,East,Kol001,16,43,77675754.60000001,1806412.8976744188,4,4,5,445,13,Champions,495460,268927,4
C0016,Government,Rental,Ranchi,Jharkhand,East,Del001,13,41,77633128.0,1893490.9268292682,5,3,5,535,13,Champions,1033243,195540,4
C0373,Corporate,Manufacturing,Hyderabad,Telangana,South,Hyd001,120,43,77626618.6,1805270.2,1,4,5,145,10,Loyal Customers,502349,395823,3
C0186,Fleet Owner,Infrastructure,Kolkata,West Bengal,East,Kol001,20,42,77458487.0,1844249.6904761905,4,4,5,445,13,Champions,198216,73566,3
C0242,Government,Construction,Chennai,Tamil Nadu,South,Chn001,43,50,77418552.4,1548371.0480000002,3,5,5,355,13,Champions,568255,46526,3
C0063,Retail,Rental,Delhi,Delhi,North,Del001,12,43,77222513.2,1795872.4000000001,5,4,5,545,14,Champions,26508,25298,5
C0300,Dealer,Mining,Delhi,Delhi,North,Del001,31,44,77188710.6,1754288.8772727272,4,4,5,445,13,Champions,121112,70050,1
C0071,Corporate,Rental,Jaipur,Rajasthan,North,Kol001,35,47,76936168.8,1636939.7617021275,3,5,5,355,13,Champions,735733,268163,2
C0026,Fleet Owner,Mining,Jaipur,Rajasthan,North,Hyd001,2,41,76679411.4,1870229.5463414635,5,3,5,535,13,Champions,172621,3188,5
C0116,Dealer,Construction,Delhi,Delhi,North,Del001,97,40,76668904.6,1916722.6149999998,1,3,5,135,9,Potential Customers,480944,340796,1
C0257,Corporate,Logistics,Delhi,Delhi,North,Del001,8,45,76640757.4,1703127.9422222225,5,4,5,545,14,Champions,443957,112531,1
C0385,Corporate,Manufacturing,Ahmedabad,Gujarat,West,Ahm001,99,42,76626473.0,1824439.8333333333,1,4,5,145,10,Loyal Customers,406137,295086,2
C0216,Government,Mining,Kolkata,West Bengal,East,Kol001,41,46,76597799.4,1665169.5521739132,3,5,4,354,12,Loyal Customers,1360073,1039649,1
C0255,Retail,Infrastructure,Chennai,Tamil Nadu,South,Chn001,50,49,76546128.2,1562165.881632653,3,5,4,354,12,Loyal Customers,22302,1943,4
