invoice_id,so_id,customer_id,branch_id,invoice_date,due_date,total_order_value,total_gst_amount,grand_total,payment_status,invoice_date_year,invoice_date_month,due_date_year,due_date_month
Inv-325361,So-990591,C0070,Ahm001,2022-05-28,2022-06-27,1345720,374439.6,1720159.6,Unpaid,2022,5,2022,6
Inv-568476,So-431510,C0031,Kol001,2022-05-08,2022-06-07,2194850,609423.0000000001,2804273.0,Unpaid,2022,5,2022,6
Inv-786913,So-495859,C0013,Ahm001,2023-10-02,2023-11-01,2620800,733824.0000000001,3354624.0,Paid,2023,10,2023,11
Inv-697615,So-745068,C0382,Hyd001,2021-10-09,2021-11-08,1094950,292961.0,1387911.0,Paid,2021,10,2021,11
Inv-747829,So-175713,C0472,Chn001,2024-11-04,2024-12-19,1250,225.0,1475.0,Paid,2024,11,2024,12
Inv-154762,So-299557,C0288,Del001,2022-02-26,2022-03-28,826600,223998.00000000003,1050598.0,Paid,2022,2,2022,3
Inv-159498,So-508292,C0463,Ahm001,2019-10-18,2019-11-02,3118660,870548.8,3989208.8,Paid,2019,10,2019,11
Inv-324708,So-527363,C0364,Kol001,2024-05-30,2024-06-29,2635500,737940.0000000001,3373440.0,Paid,2024,5,2024,6
Inv-705737,So-720172,C0015,Pun001,2021-01-16,2021-01-31,1411460,360182.80000000005,1771642.8,Paid,2021,1,2021,1
Inv-156642,So-494369,C0100,Kol001,2022-02-21,2022-03-23,3841750,1065370.0,4907120.0,Unpaid,2022,2,2022,3
Inv-685510,So-485921,C0489,Chn001,2024-01-24,2024-02-23,2629250,722300.0000000001,3351550.0,Unpaid,2024,1,2024,2
Inv-801362,So-889434,C0242,Chn001,2023-11-05,2023-12-05,1293500,345095.00000000006,1638595.0,Paid,2023,11,2023,12
Inv-434941,So-835154,C0021,Hyd001,2021-10-12,2021-10-27,2523030,680905.4000000001,3203935.4,Unpaid,2021,10,2021,10
Inv-662057,So-802509,C0325,Kol001,2024-10-11,2024-11-10,979280,269720.4,1249000.4,Paid,2024,10,2024,11
Inv-775723,So-627758,C0285,Pun001,2021-01-10,2021-01-25,87400,21332.0,108732.0,Paid,2021,1,2021,1
Inv-756381,So-679314,C0047,Pun001,2020-02-20,2020-04-20,207320,56247.600000000006,263567.6,Paid,2020,2,2020,4
Inv-475370,So-344627,C0493,Chn001,2019-08-04,2019-09-03,2386600,658828.0000000001,3045428.0,Paid,2019,8,2019,9
Inv-963160,So-201505,C0053,Del001,2024-06-30,2024-08-29,860700,235836.00000000003,1096536.0,Partially Paid,2024,6,2024,8
Inv-576405,So-256526,C0096,Chn001,2021-10-15,2021-10-30,1252800,327774.00000000006,1580574.0,Partially Paid,2021,10,2021,10
Inv-788628,So-635095,C0365,Kol001,2021-12-27,2022-02-25,1326890,368645.20000000007,1695535.2,Unpaid,2021,12,2022,2
Inv-114587,So-532392,C0485,Pun001,2019-10-02,2019-12-01,1915080,525794.4,2440874.4,Paid,2019,10,2019,12
Inv-803272,So-142238,C0246,Del001,2022-12-18,2023-01-17,1154900,312662.00000000006,1467562.0,Paid,2022,12,2023,1
