payment_id,invoice_id,payment_date,payment_amount,payment_method,payment_date_year,payment_date_month
Pay-207775,Inv-786913,2023-10-07,3354624.0,Cheque,2023,10
Pay-942474,Inv-697615,2021-11-23,1387911.0,Credit Card,2021,11
Pay-657121,Inv-747829,2024-12-26,1475.0,Bank Transfer,2024,12
Pay-684019,Inv-154762,2022-04-07,1050598.0,Cash,2022,4
Pay-166155,Inv-159498,2019-10-29,3989208.8,Cash,2019,10
Pay-352053,Inv-324708,2024-06-08,3373440.0,Cash,2024,6
Pay-374156,Inv-705737,2021-02-01,1771642.8,Upi,2021,2
Pay-842283,Inv-801362,2023-12-19,1638595.0,Credit Card,2023,12
Pay-977944,Inv-662057,2024-10-29,1249000.4,Credit Card,2024,10
Pay-963118,Inv-775723,2021-02-18,108732.0,Cheque,2021,2
Pay-388144,Inv-756381,2020-04-03,263567.6,Upi,2020,4
Pay-882745,Inv-475370,2019-08-07,3045428.0,Cheque,2019,8
Pay-300123,Inv-963160,2024-09-06,650462.84,Bank Transfer,2024,9
Pay-372535,Inv-576405,2021-11-15,451238.85,Bank Transfer,2021,11
Pay-884158,Inv-114587,2019-10-03,2440874.4,Cash,2019,10
Pay-253168,Inv-803272,2023-01-02,1467562.0,Upi,2023,1
Pay-366251,Inv-620681,2021-11-28,9408.0,Upi,2021,11
Pay-901031,Inv-247904,2022-06-13,39514.55,Cash,2022,6
Pay-653118,Inv-759813,2020-11-03,587459.0,Bank Transfer,2020,11
Pay-244024,Inv-397977,2019-02-23,194303.4,Cheque,2019,2
Pay-669990,Inv-164998,2019-12-15,481440.0,Bank Transfer,2019,12
Pay-582904,Inv-165894,2020-01-07,819004.6,Cheque,2020,1
Pay-632735,Inv-438268,2019-05-22,385434.14,Credit Card,2019,5
Pay-108845,Inv-438268,2019-04-30,1059672.52,Cash,2019,4
Pay-424177,Inv-438268,2019-04-22,168220.94,Credit Card,2019,4
Pay-761263,Inv-153034,2021-05-30,1309567.38,Upi,2021,5
Pay-333649,Inv-327432,2021-07-13,771570.4,Bank Transfer,2021,7
Pay-761769,Inv-131738,2020-05-13,2424197.2,Credit Card,2020,5
Pay-826151,Inv-378290,2020-04-30,1575678.4,Credit Card,2020,4
Pay-478426,Inv-853902,2024-11-15,3618774.4,Bank Transfer,2024,11
Pay-515325,Inv-814835,2022-04-16,1005598.3,Upi,2022,4
Pay-874707,Inv-661209,2024-09-02,1797950.84,Credit Card,2024,9
Pay-299782,Inv-972475,2021-12-10,3046635.0,Upi,2021,12
Pay-632461,Inv-263467,2021-05-03,1052710.5,Upi,2021,5
Pay-505362,Inv-263467,2021-05-13,1308551.93,Upi,2021,5
Pay-762803,Inv-263467,2021-05-31,69347.57,Cheque,2021,5
Pay-565053,Inv-572541,2022-09-02,1375679.0,Cash,2022,9
Pay-737722,Inv-441708,2023-11-13,1664928.8,Cash,2023,11
Pay-510112,Inv-635373,2019-05-20,1244288.0,Cash,2019,5
Pay-899796,Inv-324741,2021-09-09,2107337.0,Bank Transfer,2021,9
Pay-629364,Inv-800566,2019-05-17,618463.4,Cheque,2019,5
Pay-763283,Inv-854510,2019-04-15,2276792.0,Upi,2019,4
Pay-123284,Inv-959225,2019-09-18,325327.61,Bank Transfer,2019,9
Pay-382386,Inv-562671,2022-05-17,1572446.21,Credit Card,2022,5
Pay-258755,Inv-562671,2022-05-29,444858.79,Credit Card,2022,5
Pay-938738,Inv-979945,2024-09-24,2966082.57,Credit Card,2024,9
Pay-572591,Inv-979945,2024-09-19,1492601.34,Cash,2024,9
Pay-695190,Inv-979945,2024-10-12,334887.89,Credit Card,2024,10
Pay-794752,Inv-183234,2022-10-02,566979.0,Cash,2022,10
Pay-692208,Inv-696783,2024-10-29,38144.0,Bank Transfer,2024,10
Pay-438162,Inv-774464,2020-04-15,2724781.4,Credit Card,2020,4
Pay-791965,Inv-940141,2019-08-13,373881.0,Upi,2019,8
Pay-437393,Inv-906426,2021-08-25,2694043.33,Bank Transfer,2021,8
Pay-558925,Inv-906426,2021-09-07,926439.87,Bank Transfer,2021,9
Pay-542937,Inv-155585,2022-05-29,1040023.91,Cash,2022,5
Pay-983283,Inv-155585,2022-05-19,1120936.46,Cheque,2022,5
Pay-984135,Inv-155585,2022-06-08,289559.84,Cheque,2022,6
Pay-286250,Inv-436081,2019-05-02,650195.4,Cheque,2019,5
Pay-446165,Inv-886834,2019-09-14,141956.63,Bank Transfer,2019,9
Pay-635048,Inv-886834,2019-09-26,266847.37,Bank Transfer,2019,9
Pay-555124,Inv-194338,2021-11-14,1683260.2,Upi,2021,11
Pay-719746,Inv-895736,2023-08-27,197679.19,Bank Transfer,2023,8
Pay-886734,Inv-895736,2023-08-08,79966.41,Upi,2023,8
Pay-695247,Inv-932358,2024-11-20,168851.4,Cheque,2024,11
Pay-157653,Inv-469444,2024-04-17,2808179.4,Upi,2024,4
Pay-119777,Inv-964240,2022-12-02,490021.0,Cash,2022,12
Pay-475369,Inv-370392,2019-10-16,663024.66,Cash,2019,10
Pay-988156,Inv-177268,2019-08-26,2479735.0,Cash,2019,8
Pay-366890,Inv-954567,2022-11-15,2430575.45,Bank Transfer,2022,11
Pay-993538,Inv-312855,2023-11-05,1135201.4,Bank Transfer,2023,11
Pay-256639,Inv-949130,2020-11-01,4969582.0,Credit Card,2020,11
Pay-414584,Inv-802577,2022-04-14,103918.32,Bank Transfer,2022,4
Pay-897991,Inv-975372,2019-05-21,682444.13,Upi,2019,5
Pay-482454,Inv-700800,2020-06-18,52806.72,Credit Card,2020,6
Pay-118793,Inv-940006,2020-12-10,946716.2,Cheque,2020,12
Pay-243935,Inv-295210,2021-10-12,918403.6,Bank Transfer,2021,10
Pay-967560,Inv-147057,2022-01-20,1172687.0,Cash,2022,1
Pay-882840,Inv-334538,2023-08-01,272528.56,Upi,2023,8
Pay-437455,Inv-961603,2022-09-21,1178776.95,Bank Transfer,2022,9
Pay-235674,Inv-961603,2022-10-02,2796469.05,Bank Transfer,2022,10
Pay-848014,Inv-253296,2024-11-24,611714.4,Bank Transfer,2024,11
Pay-909608,Inv-585792,2022-06-10,648294.4,Cheque,2022,6
Pay-683802,Inv-426299,2022-09-13,3248945.0,Cash,2022,9
Pay-870339,Inv-693572,2023-06-07,3973.58,Credit Card,2023,6
Pay-274399,Inv-914904,2024-12-22,707309.6,Credit Card,2024,12
Pay-899911,Inv-411347,2019-07-06,74617.65,Credit Card,2019,7
Pay-245855,Inv-698098,2023-06-27,2877330.97,Bank Transfer,2023,6
Pay-548537,Inv-698098,2023-06-14,430854.53,Cash,2023,6
Pay-346680,Inv-698098,2023-07-11,10769.29,Upi,2023,7
Pay-673857,Inv-734161,2021-05-26,1858837.36,Cash,2021,5
Pay-648795,Inv-734161,2021-04-16,1349769.84,Bank Transfer,2021,4
Pay-197620,Inv-964300,2021-03-18,1155419.87,Upi,2021,3
Pay-520424,Inv-964300,2021-03-12,1305461.13,Bank Transfer,2021,3
Pay-185442,Inv-964300,2021-04-09,68076.99,Credit Card,2021,4
Pay-772909,Inv-102776,2021-04-07,638068.06,Cheque,2021,4
Pay-671580,Inv-102776,2021-03-10,177020.6,Upi,2021,3
