po_id,supplier_id,branch_id,order_date,expected_delivery_date,received_date,po_status,total_cost,total_gst_amount,grand_total,order_date_year,order_date_month,expected_delivery_date_year,expected_delivery_date_month,received_date_year,received_date_month
Po-141186,Sup0001,Pun001,2019-04-10,2019-04-29,2019-04-29,Received,22955232.11,6427464.990800001,29382697.1008,2019,4,2019,4,2019.0,4.0
Po-215234,Sup0005,Del001,2020-12-30,2021-01-27,2021-01-27,Received,19406544.39,5428358.444200001,24834902.8342,2020,12,2021,1,2021.0,1.0
Po-296826,Sup0008,Ahm001,2022-04-05,2022-05-01,2022-05-01,Received,1295425.79,362719.2212,1658145.0112,2022,4,2022,5,2022.0,5.0
Po-700652,Sup0004,Ahm001,2019-07-29,2019-08-16,2019-08-17,Received,38753295.34,10803118.1392,49556413.4792,2019,7,2019,8,2019.0,8.0
Po-120358,Sup0004,Del001,2024-05-14,2024-06-01,2024-06-01,Received,614701.4500000001,110646.261,725347.7110000001,2024,5,2024,6,2024.0,6.0
Po-975383,Sup0005,Ahm001,2021-11-01,2021-11-29,2021-11-29,Received,122764.17,22097.5506,144861.7206,2021,11,2021,11,2021.0,11.0
Po-699883,Sup0007,Del001,2019-08-07,2019-08-19,2019-08-19,Received,5345955.880000001,1395145.1164000002,6741100.9964000005,2019,8,2019,8,2019.0,8.0
Po-310142,Sup0003,Chn001,2020-02-29,2020-03-16,2020-03-16,Received,16578752.6,4385121.575,20963874.175,2020,2,2020,3,2020.0,3.0
Po-251676,Sup0008,Chn001,2021-03-31,2021-04-26,2021-04-26,Received,12805178.43,3574206.4164000005,16379384.846400002,2021,3,2021,4,2021.0,4.0
Po-299240,Sup0003,Chn001,2024-11-24,2024-12-10,2024-12-10,Received,6469409.87,1756206.1816,8225616.0516,2024,11,2024,12,2024.0,12.0
Po-818082,Sup0006,Hyd001,2020-03-29,2020-04-08,2020-04-08,Received,5511514.2700000005,1543223.9956000005,7054738.2656000005,2020,3,2020,4,2020.0,4.0
Po-673963,Sup0006,Chn001,2019-03-08,2019-03-18,2019-03-18,Received,11124174.56,3112737.0128000006,14236911.5728,2019,3,2019,3,2019.0,3.0
Po-743179,Sup0003,Ahm001,2024-04-14,2024-04-30,2024-04-30,Received,18236726.14,5012752.167200001,23249478.3072,2024,4,2024,4,2024.0,4.0
Po-502470,Sup0002,Ahm001,2020-06-03,2020-06-13,2020-06-10,Received,10581773.54,2799234.1572,13381007.6972,2020,6,2020,6,2020.0,6.0
